"Month","Chl_b","Allox","Diad"
"November",170,90,270
"November",150,100,290
"November",100,90,270
"November",190,160,490
"November",140,110,330
"November",100,70,180
"November",90,70,180
"November",170,70,160
"November",160,70,150
"November",120,60,110
"November",70,60,240
"November",70,30,220
"November",70,40,240
"November",70,50,230
"November",70,30,210
"November",60,20,70
"November",30,30,90
"November",60,30,120
"November",60,20,140
"November",80,40,150
"November",60,50,150
"November",16,50,150
"November",50,40,140
"November",16,50,160
"November",16,40,150
"November",16,20,60
"November",16,30,80
"November",16,30,90
"November",16,30,70
"November",16,30,80
"November",90,240,940
"November",140,180,740
"November",360,140,1770
"November",350,150,1800
"November",330,210,1690
"November",80,40,290
"November",120,30,220
"November",340,110,1140
"November",250,200,1550
"November",320,230,1220
"November",20,60,150
"November",60,40,150
"November",16,40,150
"November",16,40,150
"November",70,40,150
"November",16,20,50
"November",16,30,70
"November",16,20,70
"November",16,20,70
"November",16,30,80
"November",16,20,190
"November",16,20,190
"November",16,20,190
"November",40,30,210
"November",50,20,250
"November",16,20,70
"November",60,20,80
"November",50,20,80
"November",40,20,90
"November",60,20,90
"November",16,60,180
"November",90,60,180
"November",70,100,290
"November",20,130,300
"November",16,70,150
"November",16,20,60
"November",16,30,70
"November",60,30,90
"November",16,30,70
"November",16,20,80
"November",90,70,440
"November",40,90,580
"November",100,50,530
"November",90,60,340
"November",80,70,350
"November",50,30,160
"November",60,70,240
"November",90,50,250
"November",110,60,230
"November",60,50,190
"November",30,70,150
"November",80,50,130
"November",80,60,150
"November",80,50,140
"November",70,50,120
"November",70,50,50
"November",60,40,60
"November",70,40,80
"November",90,40,60
"November",30,50,80
"September",100,40,190
"September",10,10,50
"September",4,10,40
"September",4,1,30
"September",4,1,60
"September",4,10,60
"September",30,40,280
"September",30,50,340
"September",50,50,380
"September",40,50,310
"September",40,50,290
"September",10,10,90
"September",10,10,80
"September",4,1,60
"September",10,20,100
"September",20,20,120
"September",70,60,420
"September",70,70,480
"September",80,70,520
"September",60,70,510
"September",20,20,90
"September",20,20,60
"September",20,20,90
"September",20,10,10
"September",20,20,120
"September",20,50,250
"September",70,60,290
"September",20,50,230
"September",20,60,240
