"TDP","PC","PN"
1.66,74.8,4.53
1.82,80.4,1.28
1.47,73.5,6.42
2.2,75,4.05
1.8,83.6,4.58
1.48,73.7,14.15
2.09,59,6.12
1.92,38.8,3.21
1.32,108.9,15.65
2.35,93.9,8.24
2.14,25.7,2.65
1,160.8,25.77
1.18,131.3,18.41
2.05,383.3,40.46
2.13,135.8,18.57
1.61,154.8,19.92
1.47,96.6,8.64
1.56,130.3,19.2
1.64,102.3,11.32
1.64,175,24.07
1.79,49.8,3.04
1.16,107.9,22.06
1,110.5,15.34
1.61,169.4,20.99
1.48,148.8,19.49
1.28,123.5,15.09
1.78,112,10.08
1.36,99,6.84
2.18,99.7,4.92
2.72,78.8,4.32
1,153,21.21
2.66,169.8,20.28
1.54,54.9,1.74
1.3,142.9,16.59
1.36,149,20.18
5.21,169.2,22.19
1.3,168.9,18.61
1.84,199.1,21.05
1.5,77,6.25
1,64.5,5.48
2.25,60.8,4.65
1.28,69.4,5.53
1.3,87.4,7.81
1,128.1,17.59
1.32,195.7,26.88
1.91,194.8,25.3
1.06,169.1,18.77
1,105.8,4.15
1.02,159,22.02
1.54,97.5,10.42
1,193.2,22.84
1,96.9,11.27
1,48.4,2.18
1,158.5,19.91
1,139.8,21.56
1,174.9,27.58
1,173.6,21.29
1.28,195.9,26.7
1,205.8,27.92
1,109.1,11.02
1,43.7,3.04
1.28,42.5,6.98
1.28,48.5,7.13
1.26,57,8.74
1.12,51.8,7.7
1.17,48.7,7.35
1.22,33.8,4.96
1.51,40.4,5.84
1.54,50.4,6.88
1.61,60.9,9.35
1.47,67.8,16.61
1.79,55.2,9.17
1.91,36.7,4.86
1.77,42.2,6.77
1.82,40.8,5.83
1.14,119.6,15.51
1.01,90.5,13.01
1.31,77.9,11.71
1.26,70.2,10.53
1.35,60.4,8.69
1.16,55.1,8.27
1.45,36,5.33
1.31,33.8,5.35
1.62,153.3,15.91
2.09,156.2,22.33
2.14,225.9,35.9
1.69,118.3,14.25
1.82,115.4,23.29
1.54,91.5,14.1
1.62,79,12.32
2.67,69.6,12.04
1.55,77.1,12.26
2.19,39.2,4.17
2.19,36.7,3.54
2.03,70.3,12.52
1.75,104,11.94
2.03,123.7,19.83
1.42,132.3,21.24
1.56,181.8,31.2
1.56,187.5,28.1
1.86,174.1,24.72
1.71,96,15.01
1.61,44.8,6.68
1.81,21.2,4.34
1.62,23.3,3.03
1.69,56.4,5.89
2.07,34.7,5.12
1.94,140.9,19.95
2,63.6,8.27
2.05,68.1,7.51
2.2,75.4,8.7
2.06,106.2,16.23
2.16,130.7,18.12
2.26,117.5,19.01
2.44,120.8,21.52
3.42,51.9,6.66
2.21,56.3,6.37
2.61,39.3,4.97
1.86,45.2,5.79
2.11,37.3,5.52
3.08,35.4,5.25
3.32,26.7,2.3
3.06,37.6,3.5
1.91,146.7,19.53
1.88,163.7,23.47
2.03,114.1,15.24
2.72,79.3,11.55
2.92,85.4,11.97
1.12,103.4,13.81
2.73,63.6,5.33
1.78,103.5,17.37
1.71,128.5,27.92
1.92,104.5,17.5
1.78,118.8,19.77
1.69,98.2,17.68
1.9,102.5,17.78
1.81,87.3,17.2
1.87,68.8,14.61
3.18,43.5,5.07
3.18,102.8,13.37
